GVR Best	Optimal	Heuristics Best
Instance	Vehicles	Distance	Vehicles	Distance	Vehicles	Distance
C101	10	827.3	10	827.3	10	828.94
C102	10	827.3	10	827.3	10	828.94
C103	10	826.3	10	826.3	10	828.06
C104	10	826.0	10	822.9	10	824.78
C105	10	827.3	10	827.3	10	828.94
C106	10	827.3	10	827.3	10	828.94
C107	10	827.3	10	827.3	10	828.94
C108	10	827.3	10	827.3	10	828.94
C109	10	827.3	10	827.3	10	828.94
